Number,Name,Team,Primary_Position,Secondary_Position,Fpoints_avg_G,Fpoints_avg_min,Fpoints_pergame_rank,Fpoints_permin_rank,Zscore_Fpoints_avg_G,Zscore_Fpoints_avg_min
135,Herbert Jones,NO,SF25,PF,27.5,0.9016393442622952,124.5,279.0,-0.7933180405863252,-1.0482536868859298
136,Dereck Lively II,DAL,C32,N/A,26.3,1.1191489361702127,136.5,124.0,-0.9287485578448097,0.008983656858237973
137,Kelly Olynyk,TOR,C33,PF,26.3,1.163716814159292,136.5,96.0,-0.9287485578448097,0.22561237896735767
138,Cameron Johnson,BKN,SF26,PF,25.8,0.934782608695652,143.5,246.0,-0.9851779400358449,-0.8871559782967519
139,Scoot Henderson,POR,PG30,N/A,23.0,0.8070175438596491,170.0,369.0,-1.3011824803056424,-1.5081768564367017
140,Jeremy Sochan,SA,PF24,N/A,25.399999999999995,0.8581081081081079,147.0,315.0,-1.0303214457886738,-1.2598436589779962
141,Trey Murphy III,NO,SF27,SG,29.8,1.0067567567567566,103.0,183.0,-0.5337428825075629,-0.5373150519867717
142,Andre Drummond,PHI,C34,N/A,21.9,1.280701754385965,186.0,45.0,-1.4253271211259202,0.794234876846339
143,Max Strus,CLE,SF28,SG,27.3,0.853125,127.0,321.0,-0.8158897934627392,-1.2840647884169056
144,Onyeka Okongwu,ATL,C35,N/A,26.0,1.0196078431372548,142.0,174.0,-0.9626061871594309,-0.47485045762121963
145,Chris Paul,SA,PG31,N/A,29.5,1.1174242424242424,106.5,126.0,-0.5676005118221841,0.000600529388927372
146,Tre Jones,SA,PG32,N/A,28.200000000000003,1.0143884892086332,119.5,178.0,-0.7143169055188755,-0.5002198945970964
147,Shaedon Sharpe,POR,SG28,SF,26.000000000000007,0.7854984894259821,141.0,384.0,-0.9626061871594301,-1.6127733836508567
148,Jalen Suggs,ORL,PG33,SG,26.5,0.9814814814814816,132.5,202.0,-0.9061768049683957,-0.6601692427378032
149,Jordan Clarkson,UTAH,SG29,N/A,26.5,0.8660130718954248,132.5,308.0,-0.9061768049683957,-1.2214204205194605
150,Harrison Barnes,SA,PF25,N/A,20.2,0.696551724137931,209.0,452.0,-1.61718702057544,-2.045112210839618
137,Kelly Olynyk,TOR,C33,PF,26.3,1.163716814159292,136.5,96.0,-0.9287485578448097,0.22561237896735767
138,Cameron Johnson,BKN,SF26,PF,25.8,0.934782608695652,143.5,246.0,-0.9851779400358449,-0.8871559782967519
139,Scoot Henderson,POR,PG30,N/A,23.0,0.8070175438596491,170.0,369.0,-1.3011824803056424,-1.5081768564367017
140,Jeremy Sochan,SA,PF24,N/A,25.399999999999995,0.8581081081081079,147.0,315.0,-1.0303214457886738,-1.2598436589779962
141,Trey Murphy III,NO,SF27,SG,29.8,1.0067567567567566,103.0,183.0,-0.5337428825075629,-0.5373150519867717
142,Andre Drummond,PHI,C34,N/A,21.9,1.280701754385965,186.0,45.0,-1.4253271211259202,0.794234876846339
143,Max Strus,CLE,SF28,SG,27.3,0.853125,127.0,321.0,-0.8158897934627392,-1.2840647884169056
144,Onyeka Okongwu,ATL,C35,N/A,26.0,1.0196078431372548,142.0,174.0,-0.9626061871594309,-0.47485045762121963
145,Chris Paul,SA,PG31,N/A,29.5,1.1174242424242424,106.5,126.0,-0.5676005118221841,0.000600529388927372
146,Tre Jones,SA,PG32,N/A,28.200000000000003,1.0143884892086332,119.5,178.0,-0.7143169055188755,-0.5002198945970964
147,Shaedon Sharpe,POR,SG28,SF,26.000000000000007,0.7854984894259821,141.0,384.0,-0.9626061871594301,-1.6127733836508567
148,Jalen Suggs,ORL,PG33,SG,26.5,0.9814814814814816,132.5,202.0,-0.9061768049683957,-0.6601692427378032
149,Jordan Clarkson,UTAH,SG29,N/A,26.5,0.8660130718954248,132.5,308.0,-0.9061768049683957,-1.2214204205194605
150,Harrison Barnes,SA,PF25,N/A,20.2,0.696551724137931,209.0,452.0,-1.61718702057544,-2.045112210839618
